study_id,trial_number,trial_mode,box_number,distance_traveled,trial_time
s102,163,1,4,0.30521816128180873,1388
s102,164,3,8,0.862865057792464,2817
s102,165,4,12,1.0154064349599865,5265
s102,166,1,8,0.7474488312332321,2731
s102,167,3,12,0.8842841969587888,3225
s102,168,2,8,1.0550548338266472,6032
s102,169,3,4,0.3401727308824656,1368
s102,170,2,8,1.1320801250569108,4699
s102,171,3,8,0.911695741858833,3700
s102,172,4,8,0.9365784990963468,3979
s102,173,3,8,0.583423865465433,2463
s102,174,2,12,1.2929432674738033,6658
s102,175,1,12,1.007758795643241,4291
s102,176,3,12,0.9115281892424985,3630
s102,177,4,12,1.3317285589245942,6563
s102,178,4,8,0.7336741319902496,3536
s102,179,4,8,0.8528630746002788,3990
s102,180,1,8,0.5052899075646998,2070
s103,1,4,12,2.192023121206628,28926
s103,2,3,12,1.058331278614541,5620
s103,3,1,8,0.6320846550906198,4049
s103,4,1,4,0.51797686145927,2895
s103,5,2,12,0.5025286141911084,3755
s103,6,4,8,0.6188448023505723,5448
s103,7,2,4,0.4696570749579447,2498
s103,8,4,8,0.8786603116500538,5062
s103,9,3,4,0.6549699236519616,2329
s103,10,1,4,0.5795954936751474,3267
s103,11,4,4,0.3700858181229075,2113
s103,12,3,12,0.8890164357516821,3922
s103,13,4,4,0.5927151179700135,3937
s103,14,1,12,0.758399964120366,3329
s103,15,3,8,0.7635750759641912,4110
s103,16,2,8,0.8703160574312226,5872
s103,17,4,8,0.606102243182198,5496
s103,18,2,4,0.2431643158221659,1371
s103,19,4,12,0.7866477736176878,5305
s103,20,1,4,0.24416113544178544,1289
s103,21,1,4,0.2968773896603996,1709
s103,22,2,12,0.6922670802323287,3609
s103,23,2,4,0.6825445409203672,5799
s103,24,4,12,0.4906826419212472,3358
s103,25,3,8,0.5722568731933914,3087
s103,26,1,8,0.5878500658532518,3776
s103,27,1,8,0.7045342302953562,3453
s103,28,4,4,0.24987427589001787,1466
s103,29,1,8,0.7168725375191888,2827
s103,30,4,4,0.2495822490491497,1383
s103,31,2,12,0.9986710629781596,5059
s103,32,4,4,0.23804675629859012,1329
s103,33,1,4,0.5705424175780428,2996
s103,34,3,8,0.6588127564258699,4953
s103,35,4,4,0.1720194220725346,1031
s103,36,4,4,0.2080105110321248,1103
s103,37,1,4,0.4854017352746424,2566
s103,38,1,12,1.0176928263112406,3597
s103,39,4,8,0.3285226771305213,2059
s103,40,2,8,1.3105985868101688,8188
s103,41,4,8,0.30084403969644957,1966
s103,42,4,4,0.19771472997457584,1183
s103,43,3,12,1.0321663591567436,4423
s103,44,3,4,0.5448579664330109,2542
s103,45,1,4,0.4454953716743285,1755
s103,46,3,12,1.1828544710100206,4457
s103,47,1,12,0.8543636326730791,3022
s103,48,1,12,1.042511682667589,4037
s103,49,4,4,0.3350948338309559,2163
s103,50,4,4,0.14715106257010907,1093
s103,51,1,8,0.7488500229808965,2906
s103,52,4,4,0.1972223160854522,1189
s103,53,1,8,0.6932313839663603,4269
s103,54,2,8,1.2894986343064532,8713
s103,55,4,12,0.6721367649663259,4755
s103,56,4,4,0.16461172921059022,1176
s103,57,2,12,0.4986494000243862,2654
s103,58,4,8,1.4290416221282385,7909
s103,59,2,12,0.6974744105235785,2980
s103,60,1,4,0.3594480280497296,1425
s103,61,2,4,0.2745746661325182,1241
s103,62,4,12,0.8207846321809215,4327
s103,63,1,4,0.3385637771937875,1935
s103,64,4,8,0.64577299759613,3672
s103,65,3,4,0.328925937197245,1405
s103,66,2,8,0.9383685362667614,6896
s103,67,1,8,0.7296994382292638,3034
s103,68,2,8,0.6282042836078028,3853
s103,69,1,4,0.34363651594578365,2062
s103,70,2,8,1.1552118451054358,7552
s103,71,1,12,0.8855464060698197,4166
s103,72,1,12,0.8149644974226807,3921
s103,73,2,4,0.6506862469364624,3408
s103,74,1,12,0.9661696322325976,4713
s103,75,4,12,0.5392672355065539,3240
s103,76,4,8,0.30068637881818266,1675
s103,77,4,8,0.43508723291460144,2648
s103,78,4,4,0.45038458268392806,2630
s103,79,2,4,0.4865305356947081,2530
s103,80,4,12,1.0062132284009824,7344
s103,81,4,8,0.8816065962589222,5472
s103,82,3,12,1.0309401953401305,4712
s103,83,4,12,1.0895484511983893,7402
s103,84,4,12,0.7659463125090231,4950
s103,85,2,4,0.5306160758369179,2940
s103,86,4,12,1.1297291550028066,7360
s103,87,4,4,0.4017317197118728,2645
s103,88,4,8,0.3880337455088033,2432
s103,89,3,12,0.6612375551312076,5197
s103,90,1,12,0.7159313162273699,4820
s103,91,2,8,0.8287241478925951,6398
s103,92,3,4,0.3602382557269777,2068
s103,93,3,4,0.37309870623836305,2233
s103,94,2,8,0.5968823572555678,5749
s103,95,2,12,0.905176777951662,6036
s103,96,2,4,0.3101888696671155,1955
s103,97,4,12,0.7396548218167328,3851
s103,98,2,8,0.6484341467735395,4755
s103,99,4,8,0.3082637070527121,2206
s103,100,3,4,0.4067602496519947,2279
s103,101,1,12,1.0403895248070594,5668
s103,102,3,12,0.8287768183526371,4534
s103,103,2,4,0.161132264427117,2187
s103,104,2,12,1.2461687616462125,9091
s103,105,2,12,0.7979007495590907,5393
s103,106,4,8,0.6262457839997048,4575
s103,107,4,4,0.34180276780611973,2486
s103,108,4,8,0.5787531195677406,6097
s103,109,1,12,1.0707957792343734,6538
s103,110,2,12,0.4649254888852718,4397
s103,111,1,4,0.5327541552987098,2510
s103,112,2,8,0.5006885128819935,3763
s103,113,2,4,0.1467697290402837,1126
s103,114,3,8,0.6586900912941991,3809
s103,115,4,8,0.34496712564120663,2229
s103,116,4,12,1.015269237078684,7380
s103,117,1,8,0.9653698445463365,6998
s103,118,3,4,0.4699617405352871,2312
s103,119,3,4,0.3153030662990909,1912
s103,120,3,4,0.5120419076377798,2728
s103,121,2,12,1.0162397739621367,5946
s103,122,2,4,0.5938734010080352,3280
s103,123,4,4,0.3696204920352087,2383
s103,124,4,4,0.5101255757706615,3133
s103,125,1,8,0.5515679414549658,2939
s103,126,2,4,0.2599714659511592,1402
s103,127,1,4,0.5648455867982313,2968
s103,128,1,12,0.6094959367843039,3941
s103,129,1,8,0.6032011865806268,3968
s103,130,4,12,1.0519315081111194,8032
s103,131,1,8,0.5459585761466075,3429
s103,132,1,12,0.8586643312072267,5804
s103,133,1,12,0.7797051111533289,5089
s103,134,2,4,0.25620791327510684,1526
s103,135,2,12,0.5956393403996878,4280
s103,136,1,8,0.6021353166821629,3663
s103,137,3,12,0.6979238164923807,4519
s103,138,3,12,0.780908280542977,4520
s103,139,2,8,0.4833500832397557,4351
s103,140,3,12,0.8420673089833504,4938
s103,141,4,8,0.24881823927503677,2131
s103,142,4,8,0.3738188367311606,2813
s103,143,2,12,0.4731860922274624,2851
s103,144,4,12,0.8617008547936631,9542
s103,145,4,12,0.7593380725714205,6051
s103,146,2,12,0.6416664855049118,4324
s103,147,4,8,0.603187675729574,5224
s103,148,3,4,0.33940073696759715,3461
s103,149,2,12,0.5918911876729394,4729
s103,150,1,4,0.5056365286473739,3355
s103,151,1,8,0.4908225360348272,3579
s103,152,3,4,0.33723414286440356,2054
s103,153,3,12,0.6159050139113057,4780
s103,154,2,4,0.16362240892800617,1276
s103,155,2,4,0.2804837121057191,2350
s103,156,4,8,0.477902006939792,3112
s103,157,1,12,0.9898514841825132,7384
s103,158,2,8,0.4872895681148895,4634
s103,159,3,4,0.3194794714986482,2612
s103,160,3,8,0.525342774595603,4451
s103,161,2,8,0.5310432046401152,4696
s103,162,1,4,0.5205122080021962,3104
s103,163,1,4,0.36993394026534265,2788
s103,164,4,8,0.42935228185137136,3730
s103,165,3,12,0.7441980659952125,5637
s103,166,1,8,0.5229936066471573,3549
s103,167,3,12,0.8076739774745274,4712
s103,168,2,8,0.6191392216663401,4798
s103,169,3,4,0.32346626486270863,2500
s103,170,2,8,0.8861702652483009,6788
s103,171,4,8,0.520405968225073,3553
s103,172,3,8,0.4579885869321688,2310
s103,173,3,8,0.6539581039927781,4088
s103,174,2,12,0.7934486390758471,6835
s103,175,1,12,0.7955065162932328,8817
s103,176,4,12,1.028996364226883,6820
s103,177,3,12,0.7545482930394907,3866
s103,178,3,8,0.7744571795402965,4331
s103,179,3,8,0.7665644251223482,3981
s103,180,1,8,0.8972518187073918,3536
s104,1,3,12,0.7090645053240706,3130
s104,2,4,12,0.8660955413713093,6784
s104,3,1,8,0.7359074639717759,2513
s104,4,1,4,0.4428841335864051,1795
s104,5,2,12,0.6751380121762192,4532
s104,6,4,8,0.8000668064685178,5264
s104,7,2,4,0.45528002401230305,2955
s104,8,3,8,0.5369418674473824,2452
s104,9,4,4,0.729601397192209,5746
s104,10,1,4,0.3913598850119324,1436
s104,11,4,4,0.5743677341491656,3557
s104,12,3,12,0.7912942884376901,3508
s104,13,4,4,0.3279112783291842,1796
s104,14,1,12,0.6860007191818058,3019
s104,15,4,8,0.4872910439594283,2910
s104,16,2,8,0.4873923174255645,3611
s104,17,3,8,0.5014314966765929,2155
s104,18,2,4,0.24215954019283056,1439
s104,19,4,12,0.6233831378571446,3930
s104,20,1,4,0.2639942180091504,1029
s104,21,1,4,0.33272166369929423,1190
s104,22,2,12,0.48216978489546447,2949
s104,23,2,4,0.2943614852927709,1693
s104,24,3,12,0.7727354672204318,3347
s104,25,4,8,0.4687667904249369,2781
s104,26,1,8,0.7517690617417164,3395
s104,27,1,8,0.5129822667585059,2397
s104,28,4,4,0.5417752563238075,4532
s104,29,1,8,0.47377139933032,1906
s104,30,3,4,0.4713124548630001,1684
s104,31,2,12,0.5380653272034949,3635
s104,32,4,4,0.34326571198221506,2482
s104,33,1,4,0.4258604984653627,1485
s104,34,4,8,1.5698342681342887,12494
s104,35,3,4,0.29236336244621874,1286
s104,36,4,4,0.36471839440081505,2811
s104,37,1,4,0.5495971766090658,2700
s104,38,1,12,0.6938095127901749,3291
s104,39,4,8,0.3455862452828767,2591
s104,40,2,8,0.38352757240736574,2418
s104,41,3,8,0.6262513020475002,2544
s104,42,4,4,0.2122068999309744,1328
s104,43,4,12,0.37147428820940975,2850
s104,44,3,4,0.4366902825320593,1432
s104,45,1,4,0.4260059417115343,1573
s104,46,4,12,1.666484020568658,13199
s104,47,1,12,0.7231600628323291,3040
s104,48,1,12,0.7105285459672729,3716
s104,49,4,4,0.42306732321836343,3152
s104,50,4,4,0.13892357350829918,1237
s104,51,1,8,0.5998891113858421,2330
s104,52,4,4,0.2169930954630167,1336
s104,53,1,8,0.6595811806599072,3184
s104,54,2,8,1.0522311275629204,5792
s104,55,4,12,1.7350941666279704,15713
s104,56,3,4,0.2958306811960793,1099
s104,57,2,12,0.9897325314332543,7062
s104,58,3,8,0.5136129910820948,2090
s104,59,2,12,0.8124038163013628,5879
s104,60,1,4,0.6242107998141163,2407
s104,61,2,4,0.29176767863238046,1415
s104,62,3,12,0.7834642189714642,2771
s104,63,1,4,0.4599237223405659,1557
s104,64,4,8,0.755041624045659,5496
s104,65,4,4,0.4018084955972068,2577
s104,66,2,8,0.3471589109264903,2462
s104,67,1,8,0.5711249222680231,2044
s104,68,2,8,0.8447179023993558,4566
s104,69,1,4,0.4027358221123535,1323
s104,70,2,8,0.9623197835114348,6969
s104,71,1,12,0.8910402055701324,3566
s104,72,1,12,0.703453716871878,3855
s104,73,2,4,1.1044973109970386,7615
s104,74,1,12,0.8017290762813049,3817
s104,75,3,12,0.7693718587259647,3601
s104,76,4,8,0.3598014972216922,2093
s104,77,4,8,0.3614932173474208,2276
s104,78,4,4,0.18263065571571996,1298
s104,79,2,4,0.28127755064794713,1373
s104,80,3,12,0.7728312254433178,3736
s104,81,4,8,0.5209299937920691,3333
s104,82,3,12,0.7281749078290126,2965
s104,83,4,12,0.4333780366157613,3101
s104,84,3,12,1.0141076406819882,3786
s104,85,2,4,0.4858616918908859,2618
s104,86,3,12,0.6843644095325992,3143
s104,87,4,4,0.4218465820167699,2654
s104,88,4,8,0.4072456847437255,2362
s104,89,4,12,0.950427053939233,7714
s104,90,1,12,0.6857951241791886,3106
s104,91,2,8,1.3249159803803472,11658
s104,92,4,4,0.3136020113451684,1477
s104,93,4,4,0.31189907632009983,1485
s104,94,2,8,0.3489848435060413,2235
s104,95,2,12,0.4943798582632578,3305
s104,96,2,4,0.23943974927371572,1274
s104,97,3,12,0.8498634407180757,3192
s104,98,2,8,0.5070106586813217,2378
s104,99,4,8,0.5181662526209204,3859
s104,100,4,4,0.2276230396806689,1496
s104,101,1,12,0.8592849432427371,3806
s104,102,4,12,1.2650817364460314,8461
s104,103,2,4,0.10036538283658628,1034
s104,104,2,12,0.5431173517517064,3282
s104,105,2,12,0.3914747754466955,2674
s104,106,4,8,0.27677189310279837,1967
s104,107,3,4,0.35042936040241246,1265
s104,108,4,8,0.43335828666339266,2814
s104,109,1,12,0.730551174599552,3781
s104,110,2,12,0.9054353452456496,7613
s104,111,1,4,0.571538449883801,1908
s104,112,2,8,0.35855928765444645,2190
s104,113,2,4,0.17067320938224115,1185
s104,114,4,8,0.4031156566807243,2248
s104,115,3,8,0.7200178984766933,3092
s104,116,4,12,1.5126290867507055,10637
s104,117,1,8,0.5904466926291405,2560
s104,118,4,4,0.3208034312502649,1983
s104,119,4,4,0.2107204786369432,1244
s104,120,4,4,0.3168279426056348,1541
s104,121,2,12,0.5910100802852021,3150
s104,122,2,4,0.3163452660906017,1367
s104,123,4,4,0.29270396717323954,1267
s104,124,4,4,0.2596346911253473,1267
